F_id,C_id,label,value
385,177,factor,0.09023057
380,177,factor,0.004490438
394,211,factor,0.077679968
382,211,factor,0.008123548
383,211,factor,0.004751897
379,211,factor,0.027965968
380,211,factor,0.001575751
390,173,factor,0.001837512
391,173,factor,0.02547527
395,173,factor,0.002326471
382,282,factor,0.024865699
383,282,factor,0.006441776
384,282,factor,0.064900169
385,282,factor,0.099238209
386,282,factor,0.022426829
387,282,factor,0.002883762
388,282,factor,0.068613233
378,176,factor,0.040691315
379,176,factor,0.032496274
380,176,factor,0.002019789
381,176,factor,0.011069193
376,173,factor,0.017888781
389,173,factor,0.076677785
392,173,factor,0.005258621
376,176,factor,0.031355067
389,176,factor,0.122007423
392,176,factor,0.006686009
393,176,factor,0.171758629
393,217,factor,0.035543428
378,217,factor,0.041051953
379,217,factor,0.057711223
380,217,factor,0.001618694
389,177,factor,0.028047286
392,177,factor,0.00518076
376,205,factor,0.014538323
389,205,factor,0.063704415
392,205,factor,0.003935772
393,205,factor,0.068116161
392,207,factor,0.005827231
393,207,factor,0.078356334
394,207,factor,0.136992262
382,207,factor,0.010945964
383,207,factor,0.007317102
384,207,factor,0.133553018
385,207,factor,0.098328057
395,218,factor,0.002206263
381,173,factor,0.011312872
395,265,factor,0.001972687
381,198,factor,0.007068567
377,198,factor,0.021929075
384,205,factor,0.18713199
385,205,factor,0.122125769
386,205,factor,0.14940236
387,205,factor,0.002669087
388,205,factor,0.121478007
381,294,factor,0.006696731
376,188,factor,0.007031127
389,188,factor,0.04145527
392,188,factor,0.004072516
393,188,factor,0.027074703
376,233,factor,0.008045454
377,233,factor,0.033512361
393,206,factor,0.008764606
394,206,factor,0.135969422
382,206,factor,0.059857411
383,206,factor,0.011539484
384,206,factor,0.077267006
385,206,factor,0.112919733
386,206,factor,0.104898967
387,206,factor,0.02153739
380,206,factor,0.003007097
381,218,factor,0.011888016
389,179,factor,0.062915209
392,179,factor,0.015211267
393,179,factor,0.03049131
378,179,factor,0.036046764
389,303,factor,0.017385321
392,303,factor,0.00809597
393,303,factor,0.009638304
378,303,factor,0.024177075
381,265,factor,0.003977739
377,265,factor,0.01231995
381,244,factor,0.004403632
384,270,factor,0.153662028
385,270,factor,0.203916118
386,270,factor,0.160296812
