start_id,end_id,label,value
37,177,disease_value,0.005338504
38,177,disease_value,0.042209662
39,177,disease_value,0.020795836
90,177,disease_value,0.001071482
71,177,disease_value,0.025544179
72,177,disease_value,0.033373359
146,177,disease_value,0.002049122
147,177,disease_value,0.000731535
169,177,disease_value,0.005401704
42,206,disease_value,3.67E-07
43,206,disease_value,2.26E-05
44,206,disease_value,0
45,206,disease_value,0
46,206,disease_value,0
47,206,disease_value,0
48,206,disease_value,0
132,206,disease_value,2.73E-07
50,206,disease_value,0.000314962
51,206,disease_value,0.004129806
52,206,disease_value,0.003573465
53,206,disease_value,0.012937601
54,206,disease_value,0.004453693
100,206,disease_value,0.000755126
101,206,disease_value,0.005388451
102,206,disease_value,0.00044105
118,177,disease_value,0.000611421
119,177,disease_value,0.028690155
120,177,disease_value,4.76E-05
121,177,disease_value,0.007254556
122,177,disease_value,0.005135757
123,177,disease_value,0.002276776
124,177,disease_value,0.011782681
5,206,disease_value,7.64E-07
8,206,disease_value,3.31E-07
109,183,disease_value,0.002998579
110,183,disease_value,0.001005221
111,183,disease_value,0.004759509
148,183,disease_value,0.000393894
149,183,disease_value,0.001895122
150,183,disease_value,0.171994063
151,183,disease_value,0.149571901
152,183,disease_value,0.05476374
166,183,disease_value,0.005162778
71,226,disease_value,0.011610163
72,226,disease_value,0.034592562
79,226,disease_value,0.008087219
80,226,disease_value,0.005206374
78,233,disease_value,0.013680013
158,233,disease_value,0.000219069
84,233,disease_value,0.01641839
85,233,disease_value,0.000717801
86,233,disease_value,0.012320241
13,184,disease_value,0
14,184,disease_value,0
15,184,disease_value,0
40,184,disease_value,0
94,184,disease_value,0.000683613
95,184,disease_value,0.026416712
96,184,disease_value,0.016379247
97,184,disease_value,0.006498223
98,184,disease_value,0.00149474
99,184,disease_value,0.002724144
131,184,disease_value,0.020621055
49,184,disease_value,0.002891243
50,184,disease_value,0.004000398
94,219,disease_value,0.001304211
95,219,disease_value,0.04487824
96,219,disease_value,0.007754659
97,219,disease_value,0.004254987
98,219,disease_value,0.000955064
99,219,disease_value,0.002626717
131,219,disease_value,0.016756162
49,219,disease_value,0.001508274
163,219,disease_value,0.004364859
70,219,disease_value,0.000789066
55,219,disease_value,0.000733488
56,219,disease_value,0.015649443
57,219,disease_value,0.004072137
22,217,disease_value,0.013645695
23,217,disease_value,0.0043676
24,217,disease_value,0.006303082
25,217,disease_value,1.74E-05
26,217,disease_value,0.019848202
27,217,disease_value,0.001994533
28,217,disease_value,0.001088463
29,217,disease_value,0.001494108
30,217,disease_value,0.001149226
91,217,disease_value,2.91E-06
129,217,disease_value,0.001262769
154,217,disease_value,0
155,217,disease_value,0
4,217,disease_value,1.97E-07
6,226,disease_value,0.004684602
7,226,disease_value,0.002111933
156,205,disease_value,0.002009956
86,205,disease_value,0.007754112
87,205,disease_value,0.016408707
88,205,disease_value,0.002988527
89,205,disease_value,0.001067287
140,205,disease_value,0.003793556
103,206,disease_value,0.00574661
104,206,disease_value,0.005367324
105,206,disease_value,0.005983401
106,206,disease_value,0.000659979
107,206,disease_value,0.001081733
108,206,disease_value,0.00043608
109,206,disease_value,0.006277895
110,206,disease_value,0.00352641
111,206,disease_value,0.006480122
148,206,disease_value,0.00105481
64,206,disease_value,0.022547261
16,226,disease_value,0.002764847
17,226,disease_value,0.000277487
18,226,disease_value,0.000381533
19,226,disease_value,0.015128624
20,226,disease_value,0.000470673
21,226,disease_value,0.002698362
142,226,disease_value,0.000664075
156,177,disease_value,0.010064103
35,177,disease_value,0.015763148
48,183,disease_value,0
132,183,disease_value,1.85E-07
133,183,disease_value,0
82,183,disease_value,0
83,183,disease_value,0.000248546
134,183,disease_value,0.00024484
104,183,disease_value,0.004544197
105,183,disease_value,0.006695778
106,183,disease_value,0.00048015
107,183,disease_value,9.76E-05
108,183,disease_value,0.000624206
120,175,disease_value,6.06E-05
76,175,disease_value,0.013797248
77,175,disease_value,0.00243905
78,175,disease_value,0.009774511
51,184,disease_value,0.001651948
52,184,disease_value,0.002319989
53,184,disease_value,0.006096287
54,184,disease_value,0.000688726
100,184,disease_value,0.000304212
101,184,disease_value,0.005754812
102,184,disease_value,0.000476236
103,184,disease_value,0.003099059
104,184,disease_value,0.001640175
105,184,disease_value,0.005759207
60,184,disease_value,0.000243532
61,184,disease_value,0.003743956
62,184,disease_value,0.010364298
157,184,disease_value,0.005314369
63,184,disease_value,0.006243781
141,244,disease_value,0.018701035
40,183,disease_value,0
41,183,disease_value,0
42,183,disease_value,0
43,183,disease_value,4.46E-05
44,183,disease_value,0
45,183,disease_value,0
46,183,disease_value,0
47,183,disease_value,0
104,244,disease_value,0.005008318
105,244,disease_value,0.008996001
106,244,disease_value,0.00048547
107,244,disease_value,0.000183608
108,244,disease_value,0.00065045
109,244,disease_value,0.003123845
110,244,disease_value,0.001446786
111,244,disease_value,0.005180915
148,244,disease_value,0.000601952
149,244,disease_value,0.00074383
64,244,disease_value,0.016238799
114,217,disease_value,0.003037456
115,217,disease_value,0.000747039
68,217,disease_value,0.002407838
69,217,disease_value,0.002051705
116,217,disease_value,0.000258804
117,217,disease_value,0.000342374
125,217,disease_value,0.001207719
126,217,disease_value,0.000216845
127,217,disease_value,0.001308837
128,217,disease_value,0.018484205
121,226,disease_value,0.016155258
122,226,disease_value,0.00079831
123,226,disease_value,0.001449678
124,226,disease_value,0.040442978
31,226,disease_value,0.000360041
32,226,disease_value,0.002067063
33,226,disease_value,0.000858303
34,226,disease_value,0.000116138
162,226,disease_value,0.00015012
163,226,disease_value,0.001368217
35,226,disease_value,0.005876144
36,226,disease_value,0.000522603
37,226,disease_value,0.003422538
38,226,disease_value,0.021985263
39,226,disease_value,0.01063228
90,226,disease_value,0.000475988
167,284,disease_value,0.002057753
