C_id1,C_id2,label
305,362,neighbors
240,268,neighbors
240,326,neighbors
331,172,neighbors
331,233,neighbors
331,183,neighbors
331,175,neighbors
331,261,neighbors
331,323,neighbors
242,287,neighbors
242,256,neighbors
242,180,neighbors
363,304,neighbors
363,365,neighbors
229,198,neighbors
229,258,neighbors
229,181,neighbors
229,262,neighbors
229,266,neighbors
245,251,neighbors
232,269,neighbors
271,246,neighbors
271,235,neighbors
180,287,neighbors
180,256,neighbors
180,178,neighbors
180,174,neighbors
180,242,neighbors
328,251,neighbors
327,335,neighbors
327,310,neighbors
327,325,neighbors
327,316,neighbors
327,330,neighbors
327,352,neighbors
352,310,neighbors
352,316,neighbors
352,327,neighbors
