start_id,end_id,label,value
169,215,disease_value,0.015322749
169,201,disease_value,0.012427425
169,306,disease_value,0.009921004
169,228,disease_value,0.008543363
169,295,disease_value,0.008059863
169,213,disease_value,0.007327311
169,256,disease_value,0.007071737
169,259,disease_value,0.006996259
169,313,disease_value,0.006259231
169,196,disease_value,0.006063638
169,238,disease_value,0.005818203
169,177,disease_value,0.005401704
169,271,disease_value,0.005380405
169,292,disease_value,0.00508222
169,182,disease_value,0.005027459
169,301,disease_value,0.004957658
169,318,disease_value,0.004948858
169,236,disease_value,0.004788185
169,197,disease_value,0.004762026
169,285,disease_value,0.004737813
169,278,disease_value,0.004703295
169,246,disease_value,0.004693809
169,247,disease_value,0.004596823
169,348,disease_value,0.004392493
169,178,disease_value,0.004390288
169,265,disease_value,0.004357161
169,198,disease_value,0.004309702
169,249,disease_value,0.00427788
169,367,disease_value,0.004225576
169,272,disease_value,0.004151731
169,242,disease_value,0.004090388
169,172,disease_value,0.004057983
169,180,disease_value,0.004034572
169,237,disease_value,0.004033922
169,287,disease_value,0.003829735
169,344,disease_value,0.003705935
169,368,disease_value,0.003698931
169,274,disease_value,0.003631477
169,324,disease_value,0.003624196
169,229,disease_value,0.003591163
169,294,disease_value,0.003584431
169,370,disease_value,0.003542778
169,262,disease_value,0.003541585
169,235,disease_value,0.003525328
169,210,disease_value,0.003520736
169,372,disease_value,0.003463638
169,281,disease_value,0.003422034
169,184,disease_value,0.003397445
169,266,disease_value,0.003353885
169,303,disease_value,0.003248827
169,310,disease_value,0.003210129
169,364,disease_value,0.003202229
169,220,disease_value,0.003186582
169,212,disease_value,0.003117433
169,330,disease_value,0.003078738
169,334,disease_value,0.003076654
169,352,disease_value,0.003066364
169,346,disease_value,0.003042916
169,307,disease_value,0.003041005
169,222,disease_value,0.003019081
169,347,disease_value,0.003001317
169,205,disease_value,0.002987301
169,248,disease_value,0.00297232
169,275,disease_value,0.002929301
169,193,disease_value,0.002905283
169,181,disease_value,0.002872097
169,190,disease_value,0.002860229
169,233,disease_value,0.002842144
169,218,disease_value,0.002827847
169,214,disease_value,0.002819822
169,350,disease_value,0.002736927
169,225,disease_value,0.002728397
169,276,disease_value,0.00270102
169,219,disease_value,0.002687732
169,223,disease_value,0.002680253
169,253,disease_value,0.002668699
169,361,disease_value,0.002663724
169,320,disease_value,0.002633392
169,293,disease_value,0.002621389
169,255,disease_value,0.002621329
169,340,disease_value,0.002615305
169,192,disease_value,0.002610866
